,EPS,P/E,RoE,Debt/Equity,Cash Flow/Share,Div Yield,Beta
UNH,12.4567,21.443078825049973,0.05880532342927886,1.8956012070566388,2.4970324291143977,0.012916027104938041,1.06
UPS,5.52,19.992753623188406,0.14916035561409285,15.328284491274283,4.732374100719425,0.03298296484233418,1.39
URI,13.2973,10.290810916501847,0.0910960916838084,4.496620628856891,9.171891294241812,,2.44
UTX,6.6235,19.290405374801843,0.017843208656297144,2.4317744368724963,2.3266635644485807,0.022188307114346092,1.17
UHS,8.9363,15.223302709174938,0.03196069164361841,1.0865665686940749,4.061075596739194,0.002940311673037342,1.36
UNM,2.37,15.725738396624473,0.028891878726020087,6.262172632164977,2.110648290514663,0.026294606922457737,1.53
VFC,3.4968,24.736902310684055,0.10777715047862822,1.3913529757542162,3.3713224049241037,0.02184971098265896,1.33
VLO,7.3297,11.64031270038337,0.043937785572529656,0.9043707019892002,3.954674434608822,0.03750586029067042,1.32
VAR,3.999,33.26331582895724,0.06153846153846154,1.007036374478235,1.5521381832602612,,0.89
VTR,1.0196,63.014907806983125,0.005082197215564,1.18686273701756,1.0215729983772524,0.04922178988326848,0.58
VRSN,5.15,34.71650485436893,-0.1315037308531232,-2.3818404387234984,1.8251681075888568,,0.79
VRSK,3.6396,34.35267611825475,0.07060755336617405,1.8495605138607167,1.0604855972111797,,0.88
VZ,3.77,15.098143236074272,0.03648508796688306,3.953692727443786,1.9590760034365509,0.041900913562895284,0.5
VIAB,3.7338,7.8177727784027,0.041851368970013035,1.9271186440677965,0.6447234475738038,0.027406646111682084,1.47
V,4.6588,31.31063793251481,0.08423522510632057,1.1016278046634405,1.8820921276668685,0.006032768903818468,0.83
VNO,2.0204,34.097208473569594,0.02531022471177863,2.528278828127817,1.6593906631327577,0.03658005516040064,1.21
VMC,3.8991,28.898976686927757,0.023837269309076106,0.8897392474931783,1.9700866351629713,0.009939652112176074,0.84
WMT,2.2848,43.57055322128851,0.05085797837122048,1.9264649084087397,3.595203183191866,0.020894023103967856,0.64
WBA,5.44,12.946691176470589,0.043851770861806395,1.7055722597524308,0.48545490198156754,0.023853471532017605,0.83
WM,4.4862,22.230395434889214,0.08462151394422311,2.659601593625498,2.1520600311482374,0.018650355961094957,0.65
WAT,7.7352,30.43360223394353,0.11813753702325973,1.378310399436468,2.396813033031447,,1.29
WEC,3.36,22.80952380952381,0.0209078040186164,2.4068008921206197,1.385952846543675,0.028836116910229644,0.34
WDC,2.8007,17.670582354411398,-0.04462976539589443,1.5603922287390029,1.61250949799038,0.040412204485754694,1.7
WU,1.8869,9.449361386400975,-0.68463524854745,-30.040671400903808,0.6863100634632819,0.04262478968031408,0.8
WRK,3.57,11.000000000000002,0.01198755569344261,1.6415108973861785,1.1868913315033305,0.04443595620066208,1.73
WY,0.9954,26.210568615631907,-0.010280787088215787,0.9068096396197214,0.39114616542803715,0.05059409735530855,1.91
WHR,-2.284,,0.07420340462680053,6.609340899170668,29.00739342457134,0.03125429317213903,1.78
WMB,,,-0.038949522510231926,1.5257162346521147,0.7946735395189003,0.050165990409443015,1.51
WLTW,5.3059,32.24523643491208,0.03836784409257003,2.2723304912708078,4.436791238112968,0.01402770471681571,0.54
XRX,1.4096,22.339670828603857,0.026250239509484574,1.8434566008813948,1.8073102433118633,0.031756113051762465,2.23
XLNX,3.2008,38.349787553111724,0.09076310246303364,1.030477078865992,1.2399748779447315,0.01164969450101833,1.24
XYL,3.0435,24.576967307376375,0.08128612716763006,1.6040462427745665,1.1017382982038326,0.011229946524064172,1.12
YUM,4.7877,19.923971844518245,-0.04213979308604592,-1.521069896543023,1.2167709460714309,0.015095922004402977,0.55
ZBH,-1.8472,,-0.07991238105373312,1.139640478534245,1.8605130015295916,0.007714561234329798,1.38
ZTS,2.9478,32.09512178573852,0.15789473684210525,3.9322654462242563,1.2197872891480706,0.005728781312757637,0.67
