,EPS,P/E,RoE,Debt/Equity,Cash Flow/Share,Div Yield,Beta
EQIX,4.57,93.77242888402625,0.015240026046922414,1.8042465182464897,6.948986192312477,0.021281560647780834,0.96
EL,4.46,35.6457399103139,0.13307013469577333,1.9375290292614955,6.377860759203684,0.009875456032205309,0.48
RE,2.39,93.68619246861924,-0.048365824861041594,2.1369703752775244,2.620547136390474,0.02367022464383011,0.18
EXC,2.0841,23.38659373350607,0.0049408399427902745,2.8148485242491224,2.0304285864545975,0.02831350020517029,0.48
EXPE,2.7276,46.55374688370729,0.004142300194931774,3.009746588693957,-1.0789493265867995,0.009765317372814617,0.65
EXPD,3.5543,21.326280842922657,0.09019859696663744,0.6678143864774079,0.594759357042114,0.01187335092348285,0.89
XOM,4.88,16.06967213114754,0.03128356465791422,0.19708645734485958,2.031390134529148,0.04118847232848763,0.98
FFIV,8.1717,21.05804177833254,0.09289392188976914,1.052171889059515,3.328645211217846,,0.79
FB,7.6562,21.14495441602884,0.08180489022549241,0.15698883830399277,3.1934203300734008,,1.23
FAST,2.63,23.825095057034222,0.07330525035827506,0.44243713901072657,0.6225256354657751,0.02457708266836898,1.51
FRT,3.0171,44.797984819860126,0.02250488194038001,1.5713031850158425,2.044079283543555,0.029890500147972773,0.74
FDX,18.6676,9.66862371167156,0.048357002176842544,1.7619467191873122,5.661880755734666,0.01274308825973738,1.83
FIS,2.58,41.507751937984494,0.029270680372001957,1.3262848751835536,2.152750635137776,0.011952563264543841,0.84
FE,1.1165,36.47111509180474,0.020252421485177575,4.879512767830937,1.6070862695981527,0.03536345776031434,0.33
FISV,,,0.1247274313126908,3.911469690361971,1.459790567349777,,0.97
FLIR,2.0519,25.63477752327112,0.05249186641417828,0.4819174908593734,0.7106282707375604,0.012167300380228136,1.5
FLS,0.9158,50.84079493339158,0.03842320139559098,1.7995920392860079,1.2570439487379352,0.01632302405498282,1.81
FLR,1.6715,22.967394555788214,0.02541715083417022,1.954650045481074,0.8624207353484801,0.02188069809846314,2.16
F,0.94,9.265957446808512,-0.0032283201603027943,6.119169542469108,0.3473208686860931,0.06888633754305395,0.8
FTV,8.5,9.57294117647059,0.3202638162383444,0.9540899097869759,1.329745889387145,0.0034410716480275287,1.17
FBHS,,,0.039114865485263065,1.7374896703700302,1.8422262296241292,0.01644398766700925,1.75
BEN,3.04,10.766447368421051,0.028054261497732262,0.30184497301290864,0.4885085670546211,0.02902535899786129,0.93
FCX,1.5607,8.470558082911515,0.0139824453970198,2.482547458665034,-0.042786358052806645,0.0113464447806354,1.58
GPS,2.41,10.273858921161827,0.07732558139534884,1.3758720930232557,0.05505539621533476,0.038671243941841675,0.42
GRMN,3.69,22.51219512195122,0.04567648032392227,0.29303185655255115,1.1492497136613868,0.025279884434814017,0.95
GD,11.33,15.228596646072374,0.07748039549948858,2.8704398227071257,7.171206927656503,0.02156021792048221,1.27
GIS,3.4736,13.409719023491478,0.051625124026579275,3.4362127544424066,1.3223314995081685,0.0420781451266638,0.93
GM,5.6604,7.064871740513039,0.05259907359752959,4.749408131755018,4.278173510798308,0.0380095023755939,1.03
GPC,5.53,20.037974683544302,0.05410857884954749,2.669520303287889,1.496589646972247,0.025990434076346897,0.98
GILD,4.2004,15.650890391391295,0.00013931457230426304,1.9569517971579826,1.829173166926677,0.03468208092485549,1.24
GPN,2.86,44.66083916083917,0.018843981583436618,2.26597563215177,2.817614362948051,0.00031316057308384876,1.02
GT,2.9321,6.599365642372361,0.02261513157894737,2.4263980263157894,4.078433399225657,0.029974160206718344,1.45
GWW,13.8483,22.55655928886578,0.09985666507405638,1.806020066889632,5.620922988793813,0.01715913820149182,1.42
HAL,1.8906,16.56616947000952,0.0697332493173703,1.7263180004200798,0.9764561746527105,0.022988505747126436,1.43
HBI,1.5194,12.590496248519152,0.1665709901131938,6.4781872917489025,1.3892630262517154,0.031364349189754316,0.98
HOG,3.1833,11.657713693337103,0.0002790384616468681,5.01238479798461,0.51197238888923,0.039881433575855565,1.45
HRS,7.2201,22.97475104222933,0.06594372801875732,1.887456037514654,2.98735466349826,0.015131420303834096,1.19
HAS,1.7245,49.86952739924616,0.004996335108972087,1.9997321152747871,3.725098215909001,0.02930232558139535,1.13
HCA,,,-0.21494949494949495,-8.51010101010101,6.31971664424499,0.009719522354901417,1.43
HCP,2.2392,13.955877098963917,0.13951274460045768,1.0439945636585723,0.46597958859037364,0.04736,0.69
HSIC,3.5093,17.08032941042373,0.04490310441382459,1.5690854655945365,1.9415331369466717,,0.78
HES,,,-0.0004154117769238758,1.0951292969155675,2.8617554482171688,0.017494751574527644,2.29
HPE,1.18,13.830508474576272,-0.03564197937756015,1.6111398841753377,0.9629909365558912,0.022977941176470586,1.6
HOLX,-1.4969,,0.041179418643501504,1.8948797193451385,0.3590910807405653,,0.88
HD,9.21,20.889250814332243,2.171969696969697,33.24242424242424,1.8848547626003735,0.020687145901554137,1.24
HON,9.11,16.81668496158068,0.09466446644664467,2.1676567656765675,2.1382936992343837,0.019941253263707576,1.25
HRL,1.79,23.972067039106143,0.04231236435901215,0.4293224465931821,0.3505918487979708,0.018002796550920533,-0.11
HPQ,3.29,7.21580547112462,-2.270735524256651,-55.18153364632238,0.623109108464757,0.0234709351305813,1.37
HUM,12.24,25.30065359477124,0.03493750615096939,1.5010333628579864,-2.4273436987469657,0.006458279514337381,1.08
HBAN,1.22,11.745901639344263,0.030084669428931725,8.798324626193478,0.49006027836952265,0.034891835310537335,1.45
HII,19.1381,11.344386328841422,0.13984168865435356,3.429419525065963,15.60317842523477,0.013909999539403988,1.08
INFO,1.3759,38.600188967221456,0.010198865407393554,1.0019200797955239,0.8419193405946424,,0.98
ITW,7.65,18.93202614379085,0.186539643515673,3.5685310387215736,2.4656515537566897,0.024580542705240627,1.23
ILMN,5.615,53.617097061442564,0.05588078765300692,0.8124002128791911,2.0408163265306123,,1.38
INCY,0.52,163.1730769230769,0.03585886985602557,0.37373174099037004,0.3916785020182389,,1.13
IR,5.42,19.618081180811807,0.03616842524973134,1.5450040582681928,2.0079445247668404,0.018433179723502304,1.21
INTC,4.57,11.485776805251641,0.06967262583318805,0.7161729007684776,1.534356237491661,0.022861497428081537,0.52
ICE,3.46,21.728323699421967,0.03552119062845183,4.38864019533748,1.4036988696530155,0.012769353551476455,0.39
IBM,9.57,14.550679205851619,0.1162181471778995,6.337997142176709,4.5301795566431995,0.04459605026929982,1.73
IP,4.91,9.519348268839105,0.042923118717739746,3.5578647106764465,2.0270203541483554,0.04118528027385537,1.51
IFF,4.1796,30.679969375059812,0.0021545911274066442,1.1192780721497626,2.201727647042272,0.022147703345550964,0.54
INTU,4.91,51.10794297352342,0.012221423436376708,0.7713874910136592,-0.5509854162251718,0.00653542679524986,0.97
ISRG,9.93,55.57502517623364,0.0437952925675271,0.17356411331376895,2.9531221340041403,,1.26
IPGP,7.55,20.719205298013247,0.03425860602444381,0.1669498918182692,2.1353556722450984,,1.79
IQV,1.2759,111.65451837918333,0.010277033065236819,2.322758415251713,2.110323886639676,,1.12
IRM,1.0837,32.83196456583925,0.055269666380069846,5.252219002430766,1.0860437342421936,0.0667088251826869,0.98
JBHT,,,0.042201234995602896,1.4229969391600963,2.85378664532568,0.008798460269452845,1.23
JEC,2.1087,35.30611277090151,0.02156002101127357,1.2348512159179517,-1.610563587233097,0.008327736736064472,1.36
SJM,11.7766,8.611993274799177,0.023349937733499377,1.1387546699875466,1.7836108229750876,0.032143561427726286,0.66
JNJ,5.69,24.00702987697715,0.05091042977640916,1.5598138974427633,2.3281307094012633,0.025915080527086385,0.65
JCI,2.4687,14.48940738040264,0.01765993433489205,1.3236991344144862,0.12490235156067679,0.029074643556052555,1.27
JNPR,1.6371,16.865188442978436,0.03984906286282966,0.9413045281141151,0.6153774836739543,0.026077508149221298,0.2
KSU,6.16,18.0762987012987,0.03347184708082277,0.9221067940993144,2.3766123120207645,0.012932195779074989,1.01
K,3.86,14.696891191709843,-0.03229527104959631,5.621299500192234,1.7732558139534884,0.03878018684999119,0.71
KMB,4.06,29.334975369458128,-1.84304932735426,-65.02242152466367,2.755260835230176,0.033585222502099076,0.44
KIM,0.6591,26.900318616294946,0.015748797668605746,1.0432263727726028,0.28858338910167874,0.0631697687535251,0.78
