,EPS,P/E,RoE,Debt/Equity,Cash Flow/Share,Div Yield,Beta,cluster
CHRW,4.7873,19.204979842499945,0.11732902343257764,1.77565549716097,1.9200386897835695,0.02044811833804655,0.82,1
COG,0.53,45.77358490566038,0.05841853508851098,0.9955824495606088,0.5616958114940396,0.009480626545754328,0.74,11
CDNS,1.2634,44.77600126642393,0.07639314157626391,0.9160602948926616,0.4674383820912873,0.0,1.03,11
CPB,0.5945,55.222876366694706,0.1379800853485064,9.368421052631579,0.7640459889246551,0.042643923240938165,0.64,5
COF,11.8836,6.832946245245548,0.024231632732058528,6.210226832855925,8.464827881120375,0.019704433497536943,1.28,0
CAH,-0.0693,0.0,0.0463346020188648,5.695680953168956,1.2448954254287508,0.03444990892531876,1.49,18
KMX,4.3639,13.87291184490937,0.05540167092028705,4.35551872674931,0.02201814365589375,0.0,1.12,10
CCL,4.4653,13.172687165476004,0.0202102851532136,0.7346888679785624,2.1125517461293613,0.033151989119347164,1.61,10
CAT,10.36,13.386100386100388,0.07464919153785883,4.589286986252582,3.619190920574136,0.02365157196423421,1.38,19
CBS,5.2,9.940384615384612,0.20007132667617689,6.79564907275321,0.7075553101163152,0.013929193267556587,0.99,10
CNC,2.37,27.0084388185654,0.022075661811853074,1.8208298983237152,-1.5344773337851247,0.0,1.49,16
CNP,3.5701,8.795271841124897,0.02868554829339143,3.035584604212055,1.1692149300366528,0.03503184713375797,0.56,10
CTL,-1.6251,0.0,-0.121646156949768,2.542566068186403,1.847019414061777,0.16071428571428573,0.74,18
CERN,1.9,30.38421052631579,0.026645623955414238,0.3612229067145471,1.2544325612511986,0.0,0.96,16
CF,1.2442,35.42035042597653,0.01656524678837052,2.3427991886409743,1.0572336009636425,0.02722940776038121,0.31,16
CHTR,5.33,65.68105065666039,0.008157640898442883,2.8882458316108583,14.057882265236028,0.0,1.39,5
CVX,7.81,15.286811779769527,0.024133959651642792,0.22295767175226786,4.779748478362127,0.037524080743780885,0.91,19
CMG,6.34,94.67192429022086,0.022214760025226543,0.6676555619462181,4.665931523193174,0.0,0.94,4
CB,0.0,0.0,0.007055970742566386,2.3346120209890286,-6.597150638556439,0.021559735335662772,0.69,18
CHD,2.32,28.568965517241377,0.058195451952074324,1.4733882141983865,0.7943695605381894,0.013126131563065779,-0.02,16
XEC,8.3184,8.917580303904598,0.09361112095492023,0.8205626427644299,4.105070231319513,0.009166891345376113,1.72,19
CTAS,8.6806,23.546759440591664,0.0791601205585014,1.4461467261971614,1.7368954698500152,0.007925636007827789,1.26,1
CSCO,2.78,18.02517985611511,0.06918531957145309,1.5120007845252397,0.8625565932081335,0.02634204749550988,1.0,1
CTXS,4.25,24.750588235294124,0.3004755955823825,8.312551335493428,1.5669571686682964,0.003327312482175112,0.88,1
CMS,2.33,23.261802575107296,0.022712933753943215,4.150788643533123,0.4869442484121384,0.026383763837638373,0.31,1
KO,1.5,30.18666666666667,0.05123373181791414,3.778222719510041,0.432279026714374,0.03445229681978799,0.41,16
CTSH,3.61,20.04986149584488,0.05672268907563025,0.3929446778711485,1.220659399512084,0.01105277701022382,1.14,1
CL,2.75,24.32727272727273,-5.941176470588236,-117.29411764705885,0.993866162431398,0.02481315396113602,0.87,6
CMCSA,2.5548,15.112728980742133,0.03506346613045117,2.48371105804812,1.281960447424123,0.019684019684019685,1.01,10
CMA,7.3147,12.044239681736775,0.04102837351804982,8.451312108698549,4.0817353349978935,0.02088535754824064,1.47,19
CAG,1.8534,12.614654149131324,0.018216802092994283,2.1737655901773234,0.34428653205447635,0.036355859709153115,1.17,10
CXO,13.03,8.138142747505757,0.08008312020460358,0.43654092071611256,3.480649188514357,0.0,1.58,19
COP,5.3729,13.022762381581645,0.0584864898713172,1.187137981777764,3.334802538787024,0.01657853365728169,0.98,19
ED,5.01,16.387225548902194,0.02738087744696922,2.11783218984075,1.7978913303111637,0.03453105968331304,0.32,10
STZ,16.5007,10.245625943141807,0.02692618618245134,1.4542805617987509,3.8151163628503495,0.016207263693363304,0.76,0
GLW,1.24,28.10483870967742,0.02117169373549884,0.9874564965197216,1.1960430168755187,0.02065997130559541,1.31,16
COST,7.44,29.071236559139784,0.0582516898306372,2.3038657249183565,4.942223432995075,0.010217763188311987,1.03,16
COTY,-1.64,0.0,-0.12630997620018145,1.7319693363663855,0.4254203288621604,0.04436557231588288,1.09,18
CCI,1.3535,88.56298485408202,0.01769985042379924,1.7243643011467509,1.7518072289156623,0.03566363560523901,0.46,4
CSX,3.8844,18.872927607867368,0.06710180689325798,1.982249462707952,1.5141669629611465,0.012003819397080891,1.24,1
CMI,13.24,11.740181268882177,0.07879695155144258,1.4701959716929778,6.292146257444117,0.028564076170869788,1.28,0
CVS,-0.55,0.0,-0.007196221554315156,2.368621726062688,1.9169502010516548,0.03228410008071025,1.26,18
DHI,4.133,9.881442051778368,0.03147500739750348,0.5740024329567,-0.9991350291760284,0.012855044074436826,1.36,10
DHR,3.78,30.021164021164022,0.02646875354428944,0.6948862991947374,1.7642195295794725,0.005639760310186817,0.86,16
DRI,5.4495,20.508303514083863,0.05137092832066836,1.4659823134693153,1.8419710304512225,0.0246957766642806,0.7,1
